pregunta,respuesta
¿Debo presentar el aviso de actualización de actividades económicas y obligaciones fiscales si dejó de realizar actividades económicas?,El aviso de actualización de actividades económicas y obligaciones fiscales se presenta en el caso de que modifiques las actividades económicas que realizas y conserves al menos una activa.
¿Puedo realizar el aviso de apertura de sucesión por internet?,"El aviso de apertura de sucesión se presenta en las oficinas del SAT, preferentemente con cita."
Con la presentación del aviso de inicio de apertura de sucesión ¿queda cancelado el RFC?,"El aviso de apertura de sucesión es el inicio de la cancelación de un registro de persona física, cuando se finalice la sucesión, presenta el aviso de Cancelación por Liquidación de la Sucesión, con este aviso se cancela el RFC."
"¿Para efectuar el trámite de apertura de sucesión en las oficinas del SAT, se quedan con los originales de mis documentos?",La documentación original y copias certificadas solamente te serán solicitadas para cotejo.
¿Puedo presentar por internet el aviso de cancelación en el RFC de una persona física?,Los avisos de cancelación sólo se presentan en las oficinas del SAT.
¿Qué tipo de aviso de cancelación en el RFC se presenta si fallece una persona asalariada?,Se presenta el aviso de cancelación por defunción.
¿Qué tipo de aviso presento para cancelar el RFC de una persona fallecida?,"Presenta el aviso de cancelación por defunción si la persona fallecida:Se encontraba activa sin obligaciones fiscales.Si eligió únicamente alguno de los siguientes regímenes: Sueldos y salarios, Incorporación Fiscal, Ingresos por intereses e Ingresos por dividendos.O bien, exista un aviso de suspensión de actividades previo, con independencia del régimen fiscal en que hubiere tributado conforme a la Ley del Impuesto Sobre la Renta.Presenta el aviso de apertura de sucesión:Si eres representante legal o albacea de la sucesión en el caso del fallecimiento de una persona obligada a presentar declaraciones periódicas por cuenta propia diferente de servicios personales.Cuando el RFC esté suspendido, pero tenga algún crédito fiscal determinado."
¿Quién puede presentar el aviso de cancelación en el RFC por defunción?,Un familiar o tercero interesado.
¿Cuándo se debe presentar el aviso de suspensión y reanudación de asalariados?,"-En el caso de suspensión, el empleador debe presentar el aviso dentro del mes siguiente a aquel en que se concluya la relación laboral.-En el caso de reanudación, dentro del mes siguiente a aquel en que el asalariado preste los servicios al empleador y que tenga estado de suspendido en el RFC.Conforme a lo establecido en la ficha de trámite 75/CFF de la RMF vigente."
"¿Con qué requisitos debe cumplir el archivo con extensión .txt, con respecto a la información de mis trabajadores?","El archivo con extensión .txt, debe cumplir con las siguientes características:-No debe contener tabuladores.-Debe utilizar únicamente letras mayúsculas.-El formato del archivo debe ser en Código Estándar Americano para Intercambio de Información (ASCII), y en caso de que se incluyan claves en el RFC con “Ñ” se deben guardar en el formato compatible (ANSI), sin importar el nombre de dicho archivo.-El archivo debe estar delimitado por pipes “I” de conformidad con los siguientes nueve campos, de la persona asalariada:-Primera columna. - Clave en el RFC a 13 posiciones.-Segunda columna. - CURP a 18 posiciones.-Tercera columna. - Primer Apellido.-Cuarta columna. - Segundo Apellido (no obligatorio).-Quinta columna. - Nombre(s).-Sexta columna. - Fecha de suspensión o reanudación del asalariado en el formato DD/MM/AAAA.-Séptima columna. - Marca del indicador de la suspensión o reanudación de la persona asalariada de acuerdo a los valores siguientes: 1 Suspensión de asalariados, 2 Reanudación de asalariados. (únicamente pueden ser los valores 1 o 2).-Octava columna. - Clave en el RFC del patrón a 12 o 13 posiciones, según corresponda persona moral o persona física.-Novena columna. - Marca del indicador de los ingresos del asalariado de acuerdo a los valores siguientes (únicamente pueden ser los valores 1, 2, 3, 4, 5 o 6):1.Asalariados con ingresos mayores a $400,000.00. (cuatrocientos mil pesos 00/100 M.N.)2.Asalariados con ingresos menores o iguales a $400,000.00. (cuatrocientos mil pesos 00/100 M.N.)3.Asimilables a salarios con ingresos mayores a $400,000.00. (cuatrocientos mil pesos 00/100 M.N.) y menores a $75,000,000.00. (setenta y cinco millones de pesos 00/100 M.N.)4.Asimilables a salarios con ingresos menores o iguales a $400,000.00. (cuatrocientos mil pesos 00/100 M.N.)5.Ingresos por actividades empresariales asimilables a salarios con ingresos mayores a $400,000.00. (cuatrocientos mil pesos. 00/100 M.N.)6.Ingresos por actividades empresariales asimilables a salarios con ingresos menores o iguales a $400,000.00. (cuatrocientos mil pesos 00/100 M.N.)-Las columnas no deben contener títulos o estar vacías, excepto la cuarta columna."
"¿Cómo debo generar el archivo con extensión .txt, si el trabajador no cuenta con segundo apellido?","En caso, de que el trabajador no cuente con el segundo apellido, se debe dejar vacía la cuarta columna correspondiente al segundo apellido entre pipes: ||. Esta no debe contener espacios, tabuladores, ni letras."
¿Dónde y cómo se debe presentar el aviso de suspensión o reanudación de mis asalariados?,"Dentro del Portal del SAT en el apartado Empresas / Contacto / Asistencia por Internet (Mi portal)/Portal personal Mi portal (contribuyente).Ingresa con RFC y Contraseña, dentro del menú principal dirígete a Servicios por Internet / Servicios o Solicitudes / Solicitudes; genera una nueva solicitud con el tipo de trámite REANUDACIÓN ASALARIADO o SUSPENSIÓN ASALARIADO, según sea el caso."
¿Se puede colocar la letra Ñ en los registros de mis trabajadores?,"Sí, en caso de que algún registro contenga la letra Ñ debe colorse la palabra en la columna correspondiente y el archivo con extensión .txt se debe guardar en el formato compatible ANSI."
¿Hasta cuántos registros puedo colocar en mi archivo con extensión .txt?,No existe un límite de registros.
¿Qué requisitos debe cumplir mi trabajador para que sea procedente el trámite?,"En caso de:-Suspensión: Debe estar inscrito y con estado Activo o Reactivado en el padrón de contribuyentes, contar con el régimen 605 (Régimen de Sueldos y Salarios e Ingresos Asimilados a Salarios), no contar con uno o más regímenes distintos al 605.-Reanudación: Debe estar inscrito y con estado Suspendido en el padrón de contribuyentes."
¿Cuál es el plazo en el que se brinda respuesta a mi solicitud?,Plazo máximo para que el SAT resuelva el trámite o servicio 10 días hábiles.
¿Cuántos archivos con extensión .txt puedo ingresar en mi solicitud?,"Se debe ingresar un solo archivo por aviso, el cual debe contener la información total de los asalariados a suspender o reanudar de conformidad con lo establecido en la ficha 75/CFF del anexo 1 A de la RMF vigente."
¿Debo presentar aviso de reanudación de trabajadores cuando contrato un trabajador?,"Sí, ya que la obligación es del empleador, de conformidad con artículo 27, fracción VI del Código Fiscal de la Federación y el artículo 30, fracción IV, inciso b) segundo párrafo de su Reglamento."
¿Debo presentar aviso de suspensión de trabajadores cuando renuncia o despido a un trabajador?,"Sí, ya que la obligación es del empleador, de conformidad con artículo 27, fracción VI del Código Fiscal de la Federación y el artículo 30, fracción IV, inciso a) segundo párrafo de su Reglamento."
¿Puedo presentar aviso de suspensión o reanudación de asalariados por internet?,"Sí, únicamente en el Portal del SAT."
¿Puedo realizar el trámite de apertura de establecimientos por internet sin la e.firma?,"Sí, utiliza tu contraseña."
¿Quién pueden presentar el aviso de apertura de establecimiento?,"Personas físicas y morales que abran un local, establecimiento, sucursal, puestos fijos o semifijos, lugares donde se almacenen mercancías y en general cualquier lugar que se utilice para el desempeño de actividades."
¿Puedo realizar el trámite de apertura de establecimientos en las oficinas del SAT?,"Sí, en las salas de internet, el horario es de lunes a jueves de 08:30 a 16:00 horas y viernes de 8:30 a 15:00 horas."
¿Puedo realizar mi trámite de cierre de establecimiento en una oficina del SAT?,"Sí, en las salas de internet, el horario es de lunes a jueves de 08:30 a 16:00 horas y viernes de 8:30 a 15:00 horas."
¿Quiénes pueden presentar el aviso de cierre de establecimiento?,"Personas físicas y morales que cierren un local, establecimiento, sucursal, puestos fijos o semifijos, lugares donde se almacenen mercancías y en general cualquier lugar que se utilice para el desempeño de actividades."
¿Puedo realizar el trámite de cierre de establecimientos por internet sin la e.firma?,"Sí, utiliza tu contraseña."
Si presento el aviso de inicio de procedimiento de concurso mercantil ¿Se suspenden mis obligaciones fiscales?,"No. Con este aviso sólo le informas al SAT de tu situación, siguen activas tus obligaciones fiscales."
¿Puedo presentar el aviso de inicio de procedimiento de concurso mercantil si no cuento con Contraseña?,Para presentar el aviso de inicio de procedimiento de concurso mercantil es indispensable contar con Contraseña.
¿Puedo presentar el aviso de inicio de procedimiento de concurso mercantil por el portal del SAT?,"Sí, puedes realizarlo por internet con RFC y contraseña, debes anexar el acuerdo admisorio de la demanda o solicitud de Concurso Mercantil, digitalizado en formato pdf."
¿Quiénes presentan el aviso de reanudación de actividades?,"Personas que están en suspensión de actividades y vuelvan a realizar alguna actividad económica o tengan alguna obligación fiscal periódica de pago, propia o por cuenta de terceros."
¿Puedo realizar el trámite en las oficinas del SAT?,"Sí, en ""Mi @spacio"" de las oficinas del SAT.El horario de atención de las oficinas del SAT es de lunes a jueves de 08:30 a 16:00 horas y viernes de 8:30 a 15:00 horas con cita."
¿Puedo realizar el trámite por internet sin la e.firma?,"Sí, utilizando la Contraseña, pero si necesitas registrar un nuevo domicilio fiscal, debes contar con e.firma."
¿Puedo realizar el trámite de suspensión de actividades por internet sin la e.firma?,"Sí, utiliza tu contraseña."
¿Quién presenta el aviso de suspensión de actividades?,Las personas físicas que interrumpan actividades económicas o cambien de residencia fiscal.
¿Puedo presentar el aviso de suspensión de actividades en las oficinas del SAT?,"Sí, en Mi @spacio, servicio que se presta de lunes a jueves de 08:30 a 16:00 horas y viernes de 8:30 a 15:00 horas."
Mi fecha de nacimiento está incorrecta en el RFC ¿qué aviso tengo que presentar para corregirla?,El aviso de corrección o cambio de nombre.
¿Puedo presentar el aviso de corrección o cambio de nombre por internet?,El aviso de corrección o cambio de nombre sólo se presenta en las oficinas del SAT.
¿Quién puede presentar el aviso de corrección o cambio de nombre?,El contribuyente persona física o su representante legal.
¿Qué necesito para realizar el trámite por internet?,Tener e.firma vigente.
¿Quiénes pueden presentar el aviso de cambio de domicilio?,Personas y empresas inscritas en el RFC.
"¿Si la aplicación me generó un aviso de presentación inconclusa, qué debo hacer?","Acudir a las oficinas del SAT, previa cita, con los requisitos para el trámite."
¿Puedo presentar un cambio de domicilio si tengo revisión de auditoría?,"Sí, presentando el aviso con cinco días de anticipación, siempre y cuando no se haya notificado la resolución de la revisión."
¿Qué pasa si la respuesta a mi solicitud es negativa?,Inicia el procedimiento subsanando las inconsistencias detectadas.Envía nuevamente tu solicitud de generación de Constancia de Situación Fiscal con CIF para personas físicas a través de SAT ID.
¿La cédula profesional digital es válida para este trámite?,"Para este trámite únicamente podrás adjuntar la captura o archivo que contenga cualquiera de las siguientes identificaciones credencial para votar vigente, expedida por el Instituto Nacional Electoral (antes Instituto Federal Electoral), pasaporte vigente, cédula profesional vigente (para este trámite no se acepta como identificación la cédula profesional electrónica), credencial del Instituto Nacional de las Personas Adultas Mayores vigente; en el caso de extranjeros, documento migratorio vigente que corresponda, emitido por autoridad competente (en su caso, prórroga o refrendo migratorio)."
¿Qué pasa si rechazan mi trámite?,Puedes ingresar nuevamente tu trámite subsanando las inconsistencias detectadas.
¿Cuál es el tiempo de respuesta?,Son 10 días hábiles.
¿Cuántos registros es el máximo que puedes enviar?,Sin límite de registros.
¿Qué contiene el archivo de respuesta?,Contiene la CURP y el RFC registrado en el padrón de contribuyentes.
"¿Es necesario presentar el Aviso de aplicación para el Estímulo Fiscal de IVA, en la Región fronteriza Norte en el año 2021 cuando ya se gozaba del mismo, en el año 2020?","Si ya contabas con el Estímulo Fiscal de IVA en la Región Fronteriza Norte durante el ejercicio fiscal de 2020 y no fuiste dado de baja posteriormente, no es necesario volver a presentar el citado Aviso de aplicación para el estímulo fiscal de IVA, en la Región fronteriza Norte en este año 2021.No obstante, lo anterior, deberás seguir cumpliendo con lo establecido en el Decreto de estímulos fiscales región fronteriza norte."
¿En qué consiste el estímulo fiscal de IVA?,En aplicar directamente una tasa de 8% a los actos o actividades que se realicen en la región fronteriza norte.
"Si fui sujeto de una condonación de créditos fiscales realizada al amparo de disposiciones fiscales, ¿podría acceder al estímulo fiscal de IVA?","Podrás acceder aún y cuando estés incluido en la lista de personas contribuyentes con créditos fiscales condonados publicada en el Portal del SAT, siempre y cuando el motivo de la publicación sea consecuencia de la condonación de multas, circunstancia que deberás señalar al presentar el aviso para aplicar los estímulos en la región fronteriza norte."
¿Qué municipios se ven favorecidos con el estímulo fiscal para la región fronteriza norte?,"a)Ensenada, Playas de Rosarito, Tijuana, Tecate y Mexicali del estado de Baja California;b)San Luis Río Colorado, Puerto Peñasco, General Plutarco Elías Calles, Caborca, Altar, Sáric, Nogales, Santa Cruz, Cananea, Naco y Agua Prieta del estado de Sonora;c)Janos, Ascensión, Juárez, Praxedis G. Guerrero, Guadalupe, Coyame del Sotol, Ojinaga y Manuel Benavides del estado de Chihuahua;d)Ocampo, Acuña, Zaragoza, Jiménez, Piedras Negras, Nava, Guerrero e Hidalgo del estado de Coahuila de Zaragoza;e)Anáhuac del estado de Nuevo León y,f)Nuevo Laredo; Guerrero, Mier, Miguel Alemán, Camargo, Gustavo Díaz Ordaz, Reynosa, Río Bravo, Valle Hermoso y Matamoros del estado de Tamaulipas."
¿Puedo presentar el aviso para aplicar el estímulo fiscal de IVA aún y cuando mi actividad no se ubica dentro de las actividades mencionadas en el decreto?,"Únicamente los contribuyentes que realicen los actos o actividades mencionados en el decreto de estímulos fiscales región fronteriza norte, pueden presentar el aviso para aplicar el estímulo fiscal de IVA."
"Si fui sujeto de una condonación de créditos fiscales realizada al amparo de disposiciones fiscales, ¿podría acceder al estímulo fiscal de IVA?","Podrás acceder aún y cuando estés incluido en la lista de personas contribuyentes con créditos fiscales condonados publicada en el Portal del SAT, siempre y cuando el motivo de la publicación sea consecuencia de la condonación de multas, circunstancia que deberás señalar al presentar el aviso para aplicar los estímulos en la región fronteriza sur."
¿En qué consiste el estímulo fiscal de IVA?,En aplicar directamente una tasa de 8% a los actos o actividades que se realicen en la región fronteriza sur.
¿Qué municipios se ven favorecidos con el estímulo fiscal para la región fronteriza sur?,"a)Othón P. Blanco del estado de Quintana Roo;b)Palenque, Ocosingo, Benemérito de las Américas, Marqués de Comillas, Maravilla Tenejapa, Las Margaritas, La Trinitaria, Frontera Comalapa, Amatenango de la Frontera, Mazapa de Madero, Motozintla, Tapachula, Cacahoatán, Unión Juárez, Tuxtla Chico, Metapa, Frontera Hidalgo y Suchiate del estado de Chiapas;c)Calakmul y Candelaria, del estado de Campeche y,d)Balancán y Tenosique, del estado de Tabasco."
¿Puedo presentar el aviso para aplicar el estímulo fiscal de IVA aún y cuando mi actividad no se ubica dentro de las actividades mencionadas en el decreto?,"Únicamente los contribuyentes que realicen los actos o actividades mencionados en el decreto de estímulos fiscales región fronteriza sur, pueden presentar el aviso para aplicar el estímulo fiscal de IVA."
¿En qué momento se puede presentar el Aviso de baja del estímulo?,En cualquier momento.
¿A través de qué medios puedo presentar el aviso de baja del estímulo fiscal de IVA en la región fronteriza norte?,"El aviso de baja del estímulo fiscal de IVA en la región fronteriza norte, se presenta en el Portal del SAT."
¿A través de qué medios puedo presentar el aviso de baja del estímulo fiscal de IVA en la región fronteriza sur?,"El aviso de baja del estímulo fiscal de IVA en la región fronteriza sur, se presenta en el Portal del SAT."
"¿Cuándo puedo presentar el aviso de inscripción en el Padrón de beneficiarios del estímulo para la región fronteriza norte, en materia de ISR?","A más tardar el 31 de marzo del ejercicio fiscal de que se trate, para las y los contribuyentes inscritos al RFC a la entrada en vigor del Decreto.Para las personas contribuyentes que inicien actividades o que realicen la apertura de sucursales, agencias o establecimientos en la región fronteriza norte, dentro del mes siguiente a la fecha de inscripción en el RFC o de la presentación del aviso de apertura de sucursal, agencia o establecimiento en dicha región."
"Si me determinaron contribuciones omitidas derivado del ejercicio de facultades de comprobación, ¿puedo acceder al estímulo del ISR?","Sí, en caso de que te hubieran ejercido facultades de comprobación por cualquiera de los cinco ejercicios fiscales anteriores a aquél en el que se aplique el estímulo y te hubieran determinado contribuciones omitidas, siempre y cuando hayas corregido tu situación fiscal."
"¿Puedo aplicar el estímulo del ISR si me encuentro dentro de la región fronteriza norte, pero mis clientes son personas contribuyentes con domicilio fiscal que se ubique en el resto del país?","Sí, si te encuentras en el Padrón de beneficiarios con independencia del domicilio de tus clientes y cumples con los requisitos del Decreto y demás normatividad aplicable."
¿Qué contribuyentes pueden ser sujetos de los beneficios del estímulo fiscal región fronteriza norte?,"Personas físicas y morales residentes en México, así como los residentes en el extranjero con establecimiento permanente en México, que tributen en los términos del Título II ""De las personas morales"", Título IV ""De las personas físicas"", Capítulo II, Sección I ""De las personas físicas con actividades empresariales y profesionales""."
"¿Puedo aplicar el estímulo del ISR si me encuentro dentro de la región fronteriza sur, pero mis clientes son personas contribuyentes con domicilio fiscal que se ubique en el resto del país?","Sí, si te encuentras en el Padrón de beneficiarios con independencia del domicilio de tus clientes y cumples con los requisitos del Decreto y demás normatividad aplicable."
"¿Cuándo puedo presentar el aviso de inscripción en el Padrón de beneficiarios del estímulo para la región fronteriza sur, en materia de ISR?","A más tardar el 31 de marzo del ejercicio fiscal de que se trate, para las y los contribuyentes inscritos al RFC a la entrada en vigor de los Decretos.Para las personas contribuyentes que inicien actividades o que realicen la apertura de sucursales, agencias o establecimientos en la región fronteriza norte o sur, dentro del mes siguiente a la fecha de inscripción en el RFC o de la presentación del aviso de apertura de sucursal, agencia o establecimiento en dichas regiones."
¿Qué contribuyentes pueden ser sujetos de los beneficios del estímulo fiscal región fronteriza sur?,"Personas físicas y morales residentes en México, así como los residentes en el extranjero con establecimiento permanente en México, que tributen en los términos del Título II “De las personas morales”; Título IV “De las personas físicas”; Capítulo II, “De los ingresos por actividades empresariales y profesionales”, Sección I “De las personas físicas con actividades empresariales y profesionales” y Título VII “De los estímulos fiscales”, Capítulo VIII “De la opción de acumulación de ingresos por personas morales” de la Ley del Impuesto sobre la Renta, que perciban ingresos exclusivamente en la Región Fronteriza Sur."
¿Cómo me doy de baja para ISR en el Padrón de beneficiarios del estímulo para la región fronteriza norte?,"Requieres presentar el Aviso para darse de baja del Padrón de beneficiarios del estímulo para la región fronteriza norte.En caso de que presentes aviso de suspensión de actividades o cualquiera de los avisos de cancelación en el RFC, se considerará que con dichos avisos se presenta el aviso para darte de baja del Padrón de beneficiarios del estímulo para la región fronteriza norte."
¿Cómo debo cumplir con mis obligaciones si solicito la baja del padrón de beneficiarios del estímulo para la región fronteriza norte?,"Al solicitar la baja del padrón de beneficiarios del estímulo para la región fronteriza norte, se perderán los beneficios por la totalidad del ejercicio, por lo que deberás presentar las declaraciones complementarias y realizar el pago correspondiente del impuesto sobre la renta sin considerar la aplicación del estímulo fiscal."
¿Cómo debo cumplir con mis obligaciones si solicito la baja del padrón de beneficiarios del estímulo para la región fronteriza sur?,"Al solicitar la baja del padrón de beneficiarios del estímulo para la región fronteriza sur, se perderán los beneficios por la totalidad del ejercicio, por lo que deberás presentar las declaraciones complementarias y realizar el pago correspondiente del impuesto sobre la renta sin considerar la aplicación del estímulo fiscal."
¿Cómo me doy de baja para ISR en el Padrón de beneficiarios del estímulo para la región fronteriza sur?,"Requieres presentar el Aviso para darse de baja del Padrón de beneficiarios del estímulo para la región fronteriza sur.En caso de que presentes aviso de suspensión de actividades o cualquiera de los avisos de cancelación en el RFC, se considerará que con dichos avisos se presenta el aviso para darte de baja del Padrón de beneficiarios del estímulo para la región fronteriza sur."
¿En qué momento se puede presentar el Aviso de baja del estímulo de ISR?,En cualquier momento.
¿Cualquier contribuyente puede realizar una actualización de encargo conferido?,"No, sólo los contribuyentes inscritos en el padrón de importadores e importadores de sectores específicos."
¿Puedo realizar la actualización de encargo conferido una vez que realice la solicitud de inscripción al padrón de importadores?,"No, tienes que verificar en la página del SAT que tu solicitud de inscripción al padrón de importadores e importadores de sectores específicos haya sido autorizada."
¿Cuántos encargos conferidos puedo dar de alta?,El máximo de encargos conferidos que puedes registrar son:Personas físicas 10.Personas morales 30.Empresas certificadas más de 30.
¿Qué vigencia tienen los sectores específicos?,No tienen vigencia.
¿Cómo se dará a conocer el resultado de la solicitud de Actualización de Sectores Específicos?,"En un término no mayor a diez días hábiles, contados a partir del día siguiente de la recepción de la solicitud; ingresando al Portal SAT > Trámites del RFC > Ver más, apartado “Importadores y Exportadores”, selecciona “Consulta tus solicitudes en el padrón de importadores” y consulta tus trámites mediante el folio asignado que se encuentra en tu acuse de recepción."
¿Cuántas veces puedo presentar el trámite de Actualización de Sectores Específicos?,"Tantas veces como sea necesario, siempre que no exista un trámite en proceso."
"Voy a solicitar el aumento de Sectores Específicos para una persona moral, pero su información de socios y accionistas no se encuentra actualizada en el RFC, ¿cómo la actualizo?","Antes de presentar la solicitud de aumento de sectores, ingresa un caso de aclaración con la etiqueta deSOCIOS Y ACCIONISTAS PISEy sigue los pasos para el trámite conforme a la ficha 295/CFF del Anexo 1-A de la RMF vigente; no olvides adjuntar la documentación que acredite la relación."
¿Cómo se dará a conocer el resultado de la solicitud?,"Ingresa a la página del SAT (www.sat.gob.mx), accede a Aduanas, apartado Trámites y Autorizaciones, guía de Trámites para Padrones, Consulta de resultados.A través del INFOSAT 01 800 46 36 728, opción 8, de lunes a viernes de las 8:00 a las 21:00 hrs, se te brindará asesoría sobre requisitos, documentación soporte y el estatus de sus trámites."
¿Qué procede si la solicitud es rechazada?,"Podrás presentar una nuevade solicitud, subsanando las inconsistencias observadas."
¿Puedo solicitar mis documentos originales una vez que obtenga el resultado de mi solicitud?,"No podrás solicitar ningún tipo de documentación, ya que estos forman parte del expediente de la solicitud."
"Voy a solicitar se deje sin efectos la suspensión en el Padrón de Exportadores Sectorial de una persona moral, pero su información de socios y accionistas no se encuentra actualizada en el RFC, ¿cómo la actualizo?","Antes de presentar la solicitud para dejar sin efectos la suspensión, ingresa un caso de aclaración con la etiqueta deSOCIOS Y ACCIONISTAS PISEy sigue los pasos para el trámite conforme a la ficha 295/CFF del Anexo 1-A de la RMF vigente; no olvides adjuntar la documentación que acredite la relación."
¿Cómo puedo evaluar el encargo conferido?,¿Cómo puedo evaluar el encargo conferido?Se puede llevar a cabo mediante dos tipos de búsqueda:Evaluar Encargo Conferido por medio de RFC del Importador.Evaluar Encargo Conferido por Estado
¿Quién realiza la evaluación del encargo conferido?,El agente aduanal.
¿Cuándo se realiza la evaluación del encargo conferido?,A partir del momento en que el importador confiere el encargo al agente aduanal.
¿Qué vigencia tiene el padrón de importadores?,No tiene vigencia.
¿Cómo se dará a conocer el resultado de la solicitud?,"En un término no mayor a seis días hábiles, contados a partir del día siguiente de la recepción de la solicitud; ingresando al Portal SAT > Trámites del RFC > Ver más, apartado “Importadores y Exportadores”, selecciona “Consulta tus solicitudes en el padrón de importadores” y consulta tus trámites mediante el folio asignado que se encuentra en tu acuse de recepción."
"Voy a solicitar la inscripción al Padrón de Importadores con Sectores Específicos para una persona moral, pero su información de socios, accionistas y representantes legales no se encuentra actualizada en el RFC, ¿cómo la actualizo?","Antes de presentar la solicitud de aumento de sectores, para actualizar la información de socios y accionistas deberás hacerlo en términos de la ficha de trámite 295/CFF “Solicitud de modificación o incorporación de socios, accionistas, asociados y demás personas que forman parte de la estructura orgánica de una persona moral, así como de aquéllas que tengan control, influencia significativa o poder de mando” del Anexo 1-A de la Resolución Miscelánea Fiscal.Para actualizar la información del o los representantes legales podrás presentar un caso de aclaración, con la etiqueta “Representante Legal PISE”, adjuntando la documentación que acredite su representación legal con los requisitos previstos en las disposiciones fiscales vigentes."
¿Cuántas veces puedo presentar el trámite?,"Tantas veces como sea necesario, siempre que no exista un trámite en proceso."
¿Cómo se dará a conocer el resultado de la solicitud?,"Ingresando al Pórtal del SAT, accediendo al apartado Aduanas, sección Trámites y Autorizaciónes, apartado Guía de Tramites para Padrones, Consulta de resultados.A través deMarcaSAT:627 22 728 desde la Ciudad de México o al 01 (55) 627 22 728 en el resto del paísde lunes a viernes de las 8:00 a las 21:00 hrs, se te brindará asesoría sobre requisitos, documentación soporte y el estatus de tus trámites."
¿Qué requisitos previos se tienen que considerar?,"a) Únicamente lo realizas a través del Portal del SAT. (sat.gob.mx).b) Lo realizas con el uso de tu RFC, contraseña o firma electrónica vigente.c) Deberás encontrarte al corriente en el cumplimiento de tus obligaciones fiscales.d) Si vas a adjuntar documentación con la que acredites que ya quedó subsanada la irregularidad por la que fuiste suspendido, debe de estar digitalizada con extensión: pdf, doc, docx, xls, xlxs, jpg, jpeg, tiff, bmp, gif, png, txt, zip, rar y el tamaño máximo es de 512 kb.e) No hay limitante en cuanto al número de archivos que adjuntes, siempre que cada uno de ellos no exceda el tamaño máximo (512 KB).f) No repitas los nombres de los archivos (el sistema emitirá un mensaje de error).El nombre asignado al archivo, debe ir relacionado con el requisito o documento que contiene.g) No realices reducciones que vuelvan ilegibles los documentos.h) La imagen debe llevar una orientación vertical al momento de digitalizarlos, así como mantener la secuencia correspondiente."
¿Cómo se dará a conocer el resultado de la solicitud?,"En un término no mayor a quince días hábiles, contados a partir del día siguiente de la recepción de la solicitud.Para reincorporaciones al Padrón de Importadores, con o sin Sectores Específicos, ingresando al Portal SAT > Trámites del RFC > Ver más, apartado “Importadores y Exportadores”, selecciona “Consulta tus solicitudes en el padrón de importadores” y consulta tus trámites mediante el folio asignado que se encuentra en tu acuse de recepción.Para reincorporaciones a Sectores Específicos, podrás consultar el resultado en la respuesta al caso de aclaración que ingresaste."
¿Qué procede si la solicitud es rechazada?,"Podrás generar de forma electrónica una nueva solicitud, subsanando las inconsistencias observadas."
"¿Cuándo solicito la suspensión en el padrón de importadores, se suspende mi registro en los sectores específicos de importación?","Sí, también se te suspenden los sectores específicos de importación."
¿La autoridad puede suspender mi registro en el padrón de importadores?,"Sí, en el momento en que incurras en cualquiera de los supuestos señalados en la regla 1.3.3., de las Reglas Generales de Comercio Exterior."
¿En qué plazo es atendida mi solicitud de suspensión en el padrón de importadores a tráves del Portal del SAT?,Al momento en que realizas tu solicitud de suspensión.
¿Qué es un activo virtual?,"Son unidades de valor registrada electrónicamente y utilizada entre el público como medio de pago y cuya transferencia, únicamente puede llevarse a cabo a través de medios electrónicos. Su mayor referente son las criptomonedas."
¿Puedo hacer operaciones de activos virtuales en bancos y cambiarlos por moneda nacional u otra divisa?,"No, la operación de activos virtuales no está reconocida por instituciones financieras y estos no representan tipos de monedas o divisas. La compra-venta de es te tipo de activos se realiza en casas de cambio o exchange de activos virtuales."
En caso de realizar esta actividad ¿Qué plazo tengo para presentar mis avisos?,Hasta el 17 del mes siguiente en que realizó la operación.
¿Cuál es el monto de la operación para presenter avisos?,Cuando el monto sea igual o superior al equivalente a 645 Unidades de Medida y Actualización (UMA) o se alcance dicho umbral en virtud de la acumulación de operaciones a que se refiere el penúltimo párrafo del artículo 17 de la LFPIORPI.
¿Qué sucede si la persona designada para dar cumplimiento a la Ley no está inscrita en el RFC?,"No podrá asumir la responsabilidad otorgada, por lo tanto, deberá darse de alta en el RFC sin obligaciones fiscales, con ello podrá obtener su e.firma y estará en condiciones  de desarrollar el encargo."
"¿Qué sucede si la persona designada para dar cumplimiento a la Ley, rechaza el encargo?","Se deberá asignar a otra persona, ya que el rechazo de la designación no libera a la persona moral del cumplimiento de las obligaciones establecidas en la Ley, el Reglamento, las Reglas de Carácter general y demás disposiciones aplicables."
"¿Si mi contraseña y e.firma no están vigentes, puedo realizar mi alta y registro?","No, tienen que estar vigentes para poder ingresar al Portal de Prevención de Lavado de Dinero."
¿Una persona física o moral debe realizar el alta y registro aun cuando no tenga operaciones o éstas no superen los umbrales establecidos?,"El alta y registro no está sujeta a el número de operaciones, el alta y registro se realiza con base a la actividad que se realice con base en el artículo 17 de la LFPIORPI."
¿Puedo realizar el trámite de baja si la e.firma ya no es vigente?,"No, se debe de renovar la e.firma y una vez vigente podrás realizar la baja en el Portal de Prevención de Lavado de Dinero."
"¿Cuánto tiempo tarda en que surta efecto la baja, una vez realizado el trámite?","En el momento de hacer el trámite se genera un acuse, en consecuencia, se restringe el acceso al portal de Prevención de Lavado de Dinero y surte afectos en ese momento."
